sample	Nonsynonymous	Synonymous
TCGA-BH-A8G0-01A-11D-A351-09	11	8
TCGA-BH-AB28-01A-31D-A41F-09	25	6
TCGA-C8-A133-01A-32D-A12B-09	21	6
TCGA-C8-A9FZ-01A-11D-A41F-09	22	3
TCGA-D8-A13Y-01A-11D-A10Y-09	59	21
TCGA-D8-A13Z-01A-11D-A10Y-09	79	14
TCGA-D8-A140-01A-11D-A10Y-09	84	28
TCGA-D8-A141-01A-11D-A10Y-09	15	3
TCGA-D8-A142-01A-11D-A10Y-09	98	37
TCGA-D8-A143-01A-11D-A10Y-09	46	9
TCGA-D8-A145-01A-11D-A10Y-09	32	5
TCGA-D8-A146-01A-31D-A10Y-09	31	6
TCGA-D8-A147-01A-11D-A10Y-09	134	33
TCGA-D8-A1J8-01A-11D-A13L-09	590	189
TCGA-D8-A1J9-01A-11D-A13L-09	148	56
TCGA-D8-A1JB-01A-11D-A13L-09	34	14
TCGA-D8-A1JC-01A-11D-A13L-09	71	21
TCGA-D8-A1JD-01A-11D-A13L-09	80	18
TCGA-D8-A1JE-01A-11D-A13L-09	25	3
TCGA-D8-A1JF-01A-11D-A13L-09	35	9
TCGA-D8-A1JG-01B-11D-A13L-09	112	27
TCGA-D8-A1JH-01A-11D-A188-09	23	5
TCGA-D8-A1JI-01A-11D-A13L-09	20	12
TCGA-D8-A1JJ-01A-31D-A14K-09	52	23
TCGA-D8-A1JK-01A-11D-A13L-09	158	49
TCGA-D8-A1JL-01A-11D-A13L-09	86	32
TCGA-D8-A1JM-01A-11D-A13L-09	28	12
TCGA-D8-A1JN-01A-11D-A13L-09	111	54
TCGA-D8-A1JP-01A-11D-A13L-09	95	23
TCGA-D8-A1JS-01A-11D-A13L-09	15	7
TCGA-D8-A1JT-01A-31D-A13L-09	23	9
TCGA-D8-A1JU-01A-11D-A13L-09	9	6
TCGA-D8-A1X5-01A-11D-A14G-09	41	16
TCGA-D8-A1X6-01A-11D-A14K-09	29	4
TCGA-D8-A1X7-01A-11D-A14K-09	22	5
TCGA-D8-A1X9-01A-12D-A159-09	82	17
TCGA-D8-A1XA-01A-11D-A14G-09	21	4
TCGA-D8-A1XB-01A-11D-A14G-09	30	7
TCGA-D8-A1XC-01A-11D-A14G-09	25	5
TCGA-D8-A1XF-01A-11D-A14G-09	33	10
TCGA-D8-A1XG-01A-11D-A14G-09	21	7
TCGA-D8-A1XK-01A-21D-A14K-09	795	229
TCGA-D8-A1XL-01A-11D-A14K-09	85	12
TCGA-D8-A1XM-01A-21D-A14K-09	41	15
TCGA-D8-A1XO-01A-11D-A14K-09	13	6
TCGA-D8-A1XQ-01A-11D-A14K-09	666	209
TCGA-D8-A1XR-01A-11D-A14K-09	21	2
TCGA-D8-A1XT-01A-11D-A14K-09	27	7
TCGA-D8-A1XU-01A-11D-A14K-09	17	6
TCGA-D8-A1XV-01A-11D-A14K-09	22	8
TCGA-D8-A1XW-01A-11D-A14K-09	76	24
TCGA-D8-A1XY-01A-11D-A14K-09	34	14
TCGA-D8-A1XZ-01A-11D-A14K-09	63	15
TCGA-D8-A1Y0-01A-11D-A14K-09	51	19
TCGA-D8-A1Y1-01A-21D-A14K-09	162	54
TCGA-D8-A1Y2-01A-11D-A159-09	14	4
TCGA-D8-A1Y3-01A-11D-A159-09	41	12
TCGA-D8-A27E-01A-11D-A16D-09	10	1
TCGA-D8-A27F-01A-11D-A16D-09	50	13
TCGA-D8-A27G-01A-11D-A16D-09	670	206
TCGA-D8-A27I-01A-11D-A16D-09	27	8
TCGA-D8-A27K-01A-11D-A16D-09	21	4
TCGA-D8-A27L-01A-11D-A16D-09	34	10
TCGA-D8-A27M-01A-11D-A16D-09	53	15
TCGA-D8-A27N-01A-11D-A16D-09	35	9
TCGA-D8-A27P-01A-11D-A16D-09	16	7
TCGA-D8-A27R-01A-11D-A16D-09	25	4
TCGA-D8-A27T-01A-11D-A16D-09	15	7
TCGA-D8-A27V-01A-12D-A17D-09	170	48
TCGA-D8-A27W-01A-11D-A16D-09	33	4
TCGA-D8-A3Z6-01A-11D-A23C-09	25	4
TCGA-D8-A4Z1-01A-21D-A25Q-09	47	15
TCGA-D8-A73U-01A-11D-A33E-09	105	35
TCGA-D8-A73W-01A-22D-A351-09	33	6
TCGA-D8-A73X-01A-11D-A32I-09	23	13
TCGA-E2-A10A-01A-21D-A10Y-09	19	7
TCGA-E2-A10C-01A-21D-A10M-09	282	101
TCGA-E2-A14N-01A-31D-A135-09	66	15
TCGA-E2-A14O-01A-31D-A10Y-09	22	3
TCGA-E2-A14P-01A-31D-A12B-09	57	24
TCGA-E2-A14Q-01A-11D-A12B-09	24	4
TCGA-E2-A14R-01A-11D-A10Y-09	111	18
TCGA-E2-A14T-01A-11D-A10Y-09	27	7
TCGA-E2-A14V-01A-11D-A12B-09	88	22
TCGA-E2-A14Y-01A-21D-A12B-09	31	8
TCGA-E2-A14Z-01A-11D-A10Y-09	48	15
TCGA-E2-A150-01A-11D-A12B-09	56	17
TCGA-E2-A152-01A-11D-A12B-09	103	26
TCGA-E2-A153-01A-12D-A12B-09	20	3
TCGA-E2-A154-01A-11D-A10Y-09	37	9
TCGA-E2-A155-01A-11D-A12B-09	44	16
TCGA-E2-A156-01A-11D-A12B-09	23	3
TCGA-E2-A158-01A-11D-A12B-09	68	12
TCGA-E2-A159-01A-11D-A10Y-09	107	34
TCGA-E2-A15C-01A-31D-A12B-09	27	7
TCGA-E2-A15D-01A-11D-A10Y-09	23	5
TCGA-E2-A15G-01A-11D-A12B-09	45	21
TCGA-E2-A15H-01A-11D-A12B-09	23	8
TCGA-E2-A15I-01A-21D-A135-09	20	8
TCGA-E2-A15J-01A-11D-A12Q-09	17	5
TCGA-E2-A15M-01A-11D-A12B-09	70	25
TCGA-E2-A15P-01A-11D-A10Y-09	23	5
TCGA-E2-A15R-01A-11D-A10Y-09	29	8
TCGA-E2-A15S-01A-11D-A10Y-09	50	10
TCGA-E2-A15T-01A-11D-A10Y-09	19	11
TCGA-E2-A1AZ-01A-11D-A12Q-09	37	13
TCGA-E2-A1B0-01A-11D-A12Q-09	37	12
TCGA-E2-A1B1-01A-21D-A12Q-09	43	10
TCGA-E2-A1B4-01A-11D-A12Q-09	28	3
TCGA-E2-A1B5-01A-21D-A12Q-09	24	10
TCGA-E2-A1B6-01A-31D-A12Q-09	34	6
TCGA-E2-A1BD-01A-11D-A12Q-09	31	4
TCGA-E2-A1IE-01A-11D-A188-09	20	4
TCGA-E2-A1IF-01A-11D-A142-09	17	4
TCGA-E2-A1IG-01A-11D-A142-09	31	10
TCGA-E2-A1IH-01A-11D-A188-09	62	11
TCGA-E2-A1II-01A-11D-A142-09	26	6
TCGA-E2-A1IJ-01A-11D-A142-09	14	5
TCGA-E2-A1IK-01A-11D-A17G-09	12	5
TCGA-E2-A1IL-01A-11D-A14G-09	21	9
TCGA-E2-A1IN-01A-11D-A13L-09	139	52
TCGA-E2-A1IO-01A-11D-A142-09	9	2
TCGA-E2-A1IU-01A-11D-A14G-09	17	10
TCGA-E2-A1L6-01A-11D-A13L-09	14	5
TCGA-E2-A1L7-01A-11D-A142-09	55	11
TCGA-E2-A1L9-01A-11D-A13L-09	23	5
TCGA-E2-A1LH-01A-11D-A14G-09	164	32
TCGA-E2-A1LI-01A-12D-A159-09	21	4
TCGA-E9-A1N3-01A-12D-A159-09	25	3
TCGA-E9-A1N4-01A-11D-A14K-09	20	10
TCGA-E9-A1N5-01A-11D-A14G-09	32	9
TCGA-E9-A1N8-01A-11D-A142-09	26	6
TCGA-E9-A1N9-01A-11D-A14G-09	42	14
TCGA-E9-A1NA-01A-11D-A142-09	81	18
TCGA-E9-A1NE-01A-21D-A14K-09	45	7
TCGA-E9-A1NF-01A-11D-A14G-09	40	11
TCGA-E9-A1NG-01A-21D-A14K-09	12	5
TCGA-E9-A1NH-01A-11D-A14G-09	21	10
TCGA-E9-A1QZ-01A-21D-A167-09	19	3
TCGA-E9-A1R0-01A-22D-A16D-09	22	8
TCGA-E9-A1R2-01A-11D-A14G-09	49	9
TCGA-E9-A1R3-01A-31D-A14K-09	18	4
TCGA-E9-A1R4-01A-21D-A14G-09	102	23
TCGA-E9-A1R5-01A-11D-A14K-09	35	8
